bill_id,title,description
1636504,Oil refineries: maintenance.,An act relating to oil refineries.
1636505,Motor Vehicle Fuel Tax Law: suspension of tax.,"An act to amend Sections 7360, 7362, 7363, and 7364 of, and to add Section 7374 to, the Revenue and Taxation Code, relating to taxation, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately."
1636508,Petroleum refineries: imports.,"An act to add Chapter 6.68 (commencing with Section 25271) to Division 20 of the Health and Safety Code, relating to petroleum refineries."
1636510,Fish and wildlife: beaver.,An act relating to fish and wildlife.
1636506,Statewide water storage: expansion.,"An act to add and repeal Part 2.57 (commencing with Section 10609.90) of Division 6 of the Water Code, relating to water."
1636514,California Pocket Forest Initiative.,"An act to add and repeal Chapter 2.1 (commencing with Section 4799.12.2) of Part 2.5 of Division 4 of the Public Resources Code, relating to forests."
1636513,Natural Resources Agency: water storage projects: permit approval.,"An act to add Section 12805.7 to the Government Code, relating to water."
1636512,Oil refineries: maintenance.,An act relating to oil refineries.
1636511,Labor statistics: annual report.,"An act to amend Section 156 of the Labor Code, relating to employment."
1649733,Criminal procedure: consensual searches.,"An act to add Section 833.6 to the Penal Code, relating to criminal law."
1796673,Theft.,"An act to add and repeal Section 502.95 of the Penal Code, relating to theft."
1796674,Vehicles: electric bicycles.,"An act to amend Section 21207.5 of the Vehicle Code, relating to vehicles."
1796677,Year-round standard time.,"An act to amend Section 6808 of the Government Code, relating to computation of time."
1796682,State mandates: claims.,"An act to amend Section 17564 of the Government Code, relating to state mandates."
1796684,Health care: immigration.,An act relating to health care.
1796687,California Individual Assistance Act: California Local Assistance Act.,"An act to amend Section 8558 of, to add Sections 8690.46 and 8690.47 to, and to add Article 4.5 (commencing with Section 8688) and Article 4.6 (commencing with Section 8689) to Chapter 7.5 of Division 1 of Title 2 of, the Government Code, relating to disaster assistance, and making an appropriation therefor."
1798412,Theft: shoplifting.,"An act to amend Sections 459.5, 487, 490.2, and 490.4 of, to add Sections 666.1 and 666.2 to, and to repeal Section 1001.82 of, the Penal Code, relating to theft."
1798420,Primary elections: dual candidacies.,"An act to amend Sections 8003 and 8800 of, and to add Section 8003.5 to, the Elections Code, relating to elections."
1800461,Department of Transportation: contaminated stormwater runoff: salmon and steelhead trout bearing surface waters.,"An act to add Article 3.6 (commencing with Section 156.8) to Chapter 1 of Division 1 of the Streets and Highways Code, relating to transportation."
1800463,Negligence: controlled substances: social media companies.,"An act to add Section 1714.12 to the Civil Code, relating to social media platforms."
1800466,Criminal procedure: restitution.,"An act to amend Section 1202.4 of the Penal Code, relating to criminal procedure."
1800467,Crime: fentanyl trafficking.,"An act to amend Section 629.52 of the Penal Code, relating to crime."
1800469,Department of Parks and Recreation: Orange County Coastkeeper Garden: grant contract: termination.,"An act relating to the Department of Parks and Recreation, and declaring the urgency thereof, to take effect immediately."
1807834,Jury duty: eligibility.,"An act to amend Section 237 of, to amend, repeal, and add Section 203 of, and to add Section 203.5 to, the Code of Civil Procedure, relating to jury duty."
1810639,Budget Act of 2024.,"An act making appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill."
1810640,Senior Tenant Shallow Rental Subsidy Program of 2024: housing grants.,"An act to add Chapter 14.6 (commencing with Section 50870) to Part 2 of Division 31 of the Health and Safety Code, relating to housing."
1812197,Deceptive practices.,"An act to amend Section 1770 of the Civil Code, relating to business."
1812203,Criminal defendant: mental competency to stand trial.,"An act to amend Sections 1367 and 1370 of the Penal Code, relating to criminal procedure."
1812204,Maxims of jurisprudence.,"An act to amend Section 3533 of the Civil Code, relating to civil law."
1813229,Electricity: certificate of public convenience and necessity: transmission lines.,"An act to amend Section 1005.1 of the Public Utilities Code, relating to electricity."
1813233,Mushrooms.,"An act to add Chapter 9.5 (commencing with Section 112950) to Part 6 of Division 104 of the Health and Safety Code, relating to public health."
1814896,Local educational agencies: housing development projects: lower income households.,"An act to amend Section 65914.7 of the Government Code, relating to land use."
1814899,Wildlife areas: San Jacinto Wildlife Area.,"An act to amend Section 1019 of, and to add Section 1745.3 to, the Fish and Game Code, relating to wildlife areas."
1814901,Peace officers: education and hiring grants.,"An act to add Article 5.2 (commencing with Section 69617.7) to Chapter 2 of Part 42 of Division 5 of Title 3 of the Education Code, and to add Article 8 (commencing with Section 6049) to Chapter 5 of Title 7 of Part 3 of the Penal Code, relating to peace officers."
1819719,"Crimes: Grant program for identifying, apprehending, and prosecuting resale of stolen property.","An act to add and repeal Article 8 (commencing with Section 6049) of Chapter 5 of Title 7 of Part 3 of the Penal Code, relating to crimes."
1819721,Child welfare services: report.,"An act to amend Section 16512 of the Welfare and Institutions Code, relating to child welfare."
1819722,Controlled substances: fentanyl.,"An act to amend Section 11353.1 of the Health and Safety Code, relating to controlled substances."
1821701,State Air Resources Board: air quality regulation: valleys.,"An act to add and repeal Section 39601.7 of the Health and Safety Code, relating to air quality."
1821705,Personal Income Tax Law: exclusions: student loan debt.,"An act to add and repeal Section 17144.9 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy."
1821712,Personal income taxes: exclusion: homeownership savings accounts.,"An act to add and repeal Section 17141.7 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy."
1821715,Personal Income Tax Law: deductions: homeowners’ insurance premiums.,"An act to add and repeal Section 17226 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy."
1821717,Outdoor advertising displays: City of Hawthorne.,"An act to add Section 5272.3 to the Business and Professions Code, relating to outdoor advertising."
1824467,Crimes: extortion.,"An act to amend Section 519 of the Penal Code, relating to crimes."
1824468,Crimes: sexual exploitation of a child.,"An act to amend Section 311.3 of the Penal Code, relating to crimes."
1824477,Disabled veterans.,"An act to amend Section 295.7 of the Vehicle Code, relating to vehicles."
1826180,Nonvehicular air pollution: civil penalties.,"An act to add Section 42407.5 to the Health and Safety Code, relating to air pollution."
1826185,Civil actions: prevailing defendant: attorney’s fees.,"An act to add Section 1021.2 to the Code of Civil Procedure, relating to civil actions."
1826186,Crimes: child pornography: early release credits.,"An act to amend Section 2933.5 of the Penal Code, relating to crimes."
1827729,Criminal fines: collection.,"An act to amend Section 1214 of the Penal Code, relating to criminal fines."
1827730,California YouthBuild Program: contracting.,"An act to amend Section 9801 of the Unemployment Insurance Code, relating to employment services programs."
1827736,Community colleges: providers of care for individuals with developmental disabilities: model curriculum.,"An act to add Article 3.6 (commencing with Section 78264) to Chapter 2 of Part 48 of Division 7 of Title 3 of the Education Code, relating to community colleges."
1827737,Pupil health: drug education: opioid overdose training program.,"An act to amend Section 49414.3 of, and to add Article 5.5 (commencing with Section 49478) to Chapter 9 of Part 27 of Division 4 of Title 2 of, the Education Code, relating to pupil health."
1829017,California Travel and Tourism Commission.,"An act to amend Section 13995.40 of the Government Code, relating to tourism."
1829019,California Conservation Corps: Green Collar Certification Program.,"An act to amend Section 14300 of, and to add Section 14307.5 to, the Public Resources Code, relating to conservation, and making an appropriation therefor."
1829020,Green Assistance Program.,"An act to add Section 12812.7 to the Government Code, relating to climate change."
1829022,Childcare and development programs: eligibility.,"An act to amend Section 10271 of the Welfare and Institutions Code, relating to childcare."
1829024,Golden State Teacher Grant Program: career technical education instructors.,"An act to amend Section 69617 of the Education Code, relating to postsecondary education."
1829025,Worker classification: employees and independent contractors.,"An act to repeal Article 1.5 (commencing with Section 2775) of Chapter 2 of Division 3 of the Labor Code, relating to employment."
1829029,Personal income tax: mortgage interest deduction.,"An act to add Part 3.5 (commencing with Section 51550) to Division 31 of the Health and Safety Code, and to add Section 17225.5 to the Revenue and Taxation Code, relating to housing, and making an appropriation therefor."
1831225,Public postsecondary education: students: paid opportunities.,"An act to add Section 66032 to the Education Code, relating to public postsecondary education."
1831227,Individualized investigational treatment.,"An act to add Article 4.7 (commencing with Section 111549) to Chapter 6 of Part 5 of Division 104 of the Health and Safety Code, relating to drugs and devices."
1831228,Education: School employees: fingerprinting.,"An act to amend Section 44830.1 of the Education Code, relating to education."
1831234,California Environmental Quality Act: exemption: roadside wildfire prevention projects.,"An act to add Section 21080.44 to the Public Resources Code, relating to environmental quality."
1831235,Foster care: infant supplement.,"An act to amend Section 11465 of the Welfare and Institutions Code, relating to foster care."
1831239,Victim services.,"An act to add Section 13823.18 to the Penal Code, relating to victim services."
1831242,Innocence Commission Pilot Programs: Post-Conviction Justice Unit.,"An act to add Chapter 4 (commencing with Section 15210) to Part 6 of Division 3 of Title 2 of, and to add and repeal Article 4.5 (commencing with Section 12555) of Chapter 6 of Part 2 of Division 3 of Title 2 of, the Government Code, relating to justice."
1831247,State agencies: budgeting.,"An act to add Section 13292.2 to the Government Code, relating to state government."
1832567,CalFresh: supplemental nutrition assistance for senior citizens.,"An act to add Section 18900.35 to the Welfare and Institutions Code, relating to supplemental nutrition assistance."
1832568,State Air Resources Board: Clean Off-Road Equipment Voucher Incentive Project: unmanned aerial systems.,"An act to add Section 44274.1 to the Health and Safety Code, relating to air resources."
1832579,Vehicles: California Legacy License Plate Program.,"An act to amend Section 5004.3 of the Vehicle Code, relating to vehicles."
1832580,Franchise Tax Board: statewide financial relief payments: master agreements.,"An act to add Section 15706 to the Government Code, relating to state government."
1832584,Home solicitation contracts.,"An act to amend Section 1689.5 of the Civil Code, relating to contracts."
1832586,Local government.,An act relating to local government.
1832588,Senior legal services.,"An act to add Section 9321 to the Welfare and Institutions Code, relating to public social services."
1832594,Health care facilities: small and rural hospitals.,"An act to amend Section 124840 of the Health and Safety Code, relating to health care facilities."
1832597,California Environmental Quality Act: Department of Fish and Wildlife: review of environmental documents: revenue and cost tracking and accounting.,"An act to add Section 711.5 to the Fish and Game Code, relating to environmental quality."
1832598,Electricity: fixed charges.,"An act to amend, repeal, and add Section 739.9 of, and to add and repeal Section 913.7 of, the Public Utilities Code, relating to electricity."
1832599,State Water Project: permit and license conditions.,"An act to amend Section 138.10 of the Water Code, relating to the State Water Project."
1832601,Vehicles: public safety: Blue Envelope Program.,"An act to add Section 13009 to the Vehicle Code, relating to public safety."
1834289,Primary elections: withdrawal of candidacy.,"An act to amend Sections 8022 and 8800 of the Elections Code, relating to elections."
1834292,Sales and Use Tax Law: exemption: over-the-counter medication.,"An act to add and repeal Section 6369.3 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy."
1834293,Homeless youth: transitional housing.,"An act to add and repeal Chapter 6.1 (commencing with Section 13710) of Part 3 of Division 9 of the Welfare and Institutions Code, relating to homelessness."
1834294,Reliable Energy Needs for Everyone in the West Program.,"An act to add Chapter 7.10 (commencing with Section 25698) to Division 15 of the Public Resources Code, relating to energy."
1834295,School districts: public contracts.,"An act to amend Sections 20111 and 20114 of, and to add Section 20114.1 to, the Public Contract Code, relating to public contracts."
1834296,State contracting: global deforestation.,An act relating to public contracting.
1834298,Rabies control data.,"An act to amend Section 121690 of the Health and Safety Code, relating to rabies."
1834300,Military Equipment: definitions.,"An act to amend Section 7070 of the Government Code, relating to military equipment."
1835419,Coastal resources: certification of local coastal programs.,"An act to amend Section 30522 of the Public Resources Code, relating to coastal resources."
1835420,Disabilities: person-first terminology.,"An act to amend Sections 416.17, 1502.3, 1502.45, and 32132.96 of the Health and Safety Code, and to amend Sections 4094.2, 4094.5, 4094.7, 4801, 5585.10, 5600.3, 5695, 5695.2, 5698, 5731, 5852.5, 5855, 5856, 5860, 7501, 9544, 10213.5, 10260, 10281.5, 10381.5, 12301.8, 15660, 16507.3, 17732.1, 18358.10, 18358.15, 18358.20, and 18986.40 of, and to amend the heading of Article 5 (commencing with Section 4094) of Chapter 3 of Part 1 of Division 4 of, the heading of Article 5 (commencing with Section 5694.7) of Chapter 2.5 of Part 2 of Division 5 of, the heading of Article 6 (commencing with Section 5695) of Chapter 2.5 of Part 2 of Division 5 of, and the heading of Article 7 (commencing with Section 5698) of Chapter 2.5 of Part 2 of Division 5 of, the Welfare and Institutions Code, relating to disabilities."
1835421,Student financial aid: College Access Tax Credit Fund: community college student transfers: partnered Historically Black Colleges and Universities.,"An act to amend Section 69840 of the Education Code, relating to student financial aid, and making an appropriation therefor."
1835422,Medical loss ratios.,"An act to amend Section 1367.004 of the Health and Safety Code, and to amend Section 10112.26 of the Insurance Code, relating to health care coverage."
